,SalesInMillions
0,1.5905229950909847
1,2.1358348597517804
2,3.762045824122394
3,2.2376645554561323
4,1.873859776919814
5,1.7166148486661377
6,1.7741559069815915
7,1.728295122911778
8,1.5210692690164818
9,1.6962328873909553
10,1.8958779360322222
11,2.6158956040670134
12,1.6329982996985266
13,1.6068830456777088
14,1.6317531785051003
15,2.9812351877733603
16,1.5570717762560269
17,1.9010558624973781
18,1.6909569144878915
19,2.5942534790239344
20,1.5721449513948127
21,1.459092895042572
22,1.877662824069454
23,3.9377271584258295
24,2.392635470894155
25,1.9766306222130121
26,1.4849038689438998
27,1.4204157076920159
28,1.40189804138806
29,3.0776385734011176
30,1.579603773247969
31,1.7074415684003772
32,12.93541309945147
33,2.9012561566119346
34,1.624052637737304
35,1.897688928143561
36,1.6612501277108025
37,2.5545108170361908
38,1.665577110945047
39,1.5049188287843425
40,1.9276684073930077
41,1.9078700389915462
42,1.6777551621951228
43,1.8008536330564542
44,1.798168102098435
45,1.2009928132134478
46,1.4731745036503998
47,2.7013226916838224
48,2.5250719571274147
49,1.8171916637174026
50,3.8095554803025453
51,1.859732925550834
52,2.1288434583881526
53,1.9335754589279242
54,1.8924338147117987
55,1.6790444808721003
56,1.8857722058635702
57,5.1003967823947685
58,2.4998856485587866
59,1.3655835553693858
60,2.2490859930485723
61,1.5062190907654494
62,1.8076428152772075
63,2.1282134592900923
64,1.8385436283498657
65,2.126005272813212
66,2.103036939635002
67,1.8359281151103337
68,1.875547802676036
69,2.1721204154965776
70,2.266690899981015
71,2.0170933403427145
72,2.5948406163903424
73,2.067514009141191
74,3.7902496570756496
75,1.888036107150273
76,1.5668493089933695
77,1.779777336556122
78,1.8387146695678356
79,2.2679327603268153
80,1.4947812566056982
81,1.4173631524882009
82,2.1592749218080303
83,1.5512010952862472
84,2.1620597086949216
85,1.693747196243945
86,3.018515758740073
87,1.7732675308871555
88,1.5607038019924901
89,2.5421126201248514
90,1.5146646757797801
91,1.5946625655525355
92,3.088372125192964
93,1.3317505208529161
94,2.4357005030101524
95,1.5750579183089584
96,2.410330059802619
97,3.1469225064010207
98,2.046931926774485
99,1.554721344841163
100,1.8485374138841695
101,2.7702944975502137
102,2.083538777135432
103,2.613316348283123
104,1.5778033278310024
105,2.4980624107500673
106,1.5043172217153262
107,1.83314243326552
108,1.575285754382257
109,1.500835799234167
110,1.9211508763949894
111,1.8042668798195358
112,4.85083167818896
113,2.0276707271420533
114,2.191972598840551
115,1.5915261857838696
116,2.061293125449798
117,1.6997807232795727
118,2.2753797765921067
119,3.992959130367382
120,1.8106502456194695
121,1.6515009385500257
122,1.5807306400587502
123,1.8546921992058725
124,1.672148648057503
125,1.7957409783356393
126,1.9662250428473294
127,2.6187259334872257
128,1.7511152557907086
129,1.6474332122530269
130,1.6086017065150158
131,1.8830050102325924
132,3.803184363193924
133,2.7978585280250297
134,1.8240704719292338
135,1.6263917481738095
136,1.9484384954820335
137,1.8306426696124456
138,1.5634214255064303
139,1.6453416451518799
140,1.9522483989490802
141,2.6495480422174444
142,1.8650050818374038
143,2.2975680287610514
144,1.9909219684414736
145,2.0609016576551236
146,2.6038003191478123
147,1.8530823959046303
148,2.7673154982196513
149,2.161076315718034
150,1.6159757763242282
151,1.6899905268102553
152,1.929237033494908
153,2.04874931284591
154,4.875416301013822
155,1.1425153219301323
156,2.689936934249323
157,1.7189068170049313
158,1.7388421039995015
159,1.8002960973522786
160,1.6426531470631414
161,1.3548299829282844
162,2.3494567591409976
163,5.454019615464827
164,1.8211517827836672
165,1.820560082136997
166,4.593179978247668
167,1.6855730681730396
168,2.045531710722829
169,1.4753027199231585
170,2.6249177371276065
171,1.8513421573349893
172,2.6976130025955376
173,2.462854438161804
174,1.5933627650079465
175,2.421680454090664
176,1.7658548490260435
177,1.9902575803314153
178,2.671603471201208
179,1.9474767399035016
180,2.2844720525993654
181,1.726055174507155
182,1.5413880059036047
183,1.7202361615518864
184,1.5840335298553387
185,1.7236733992277078
186,2.086235608285401
187,1.7763848107263522
188,1.5157077930271172
189,3.6584374118954774
190,2.1661460046006558
191,1.7965428621534678
192,1.8560053352999137
193,1.833452604263614
194,2.5567697096959177
195,1.970502073761719
196,1.3371005674261598
197,1.2163856955378558
198,1.8081233561926284
199,1.7322975788159616
200,1.6842047567429377
201,1.8137266537065566
202,1.9185434467832145
203,1.7178851881938644
204,1.5653186228823937
205,3.585912936858028
206,1.9811991152146144
207,1.6911118328722863
208,2.0913336380691296
209,1.7344866591672183
210,3.0675647911417245
211,1.2752615666213645
212,3.074188912293521
213,1.9209014862727163
214,2.16241481123899
215,4.701148240294177
216,3.932447061588326
217,2.161540189268924
218,1.6603613620677526
219,3.0560134361492337
220,1.7085409835423842
221,2.294021571544069
222,1.8313582300665625
223,2.6597243413038183
224,3.012720730052452
225,1.4259715568593327
226,1.9038722544294566
227,2.794079789823461
228,2.7903689654375974
229,1.7661493022885786
230,1.5411328760494662
231,1.3609589274843283
232,1.9317483182949207
233,1.5287277541614637
234,1.6074372206534504
235,2.5833788036686443
236,1.9579846224516195
237,2.5457816571044143
238,2.8802842955859997
239,2.2986110854705553
240,2.459399288266819
241,1.9024482893785168
242,1.6628316560280478
243,1.6057892496320487
244,2.655629449501555
245,2.6029727460998893
246,2.274486660822341
247,1.8567506503703595
248,3.8153334678833755
249,2.0185442358688817
250,3.0311085583182407
251,2.039452819752311
252,2.055317181724974
253,2.399524681055356
254,2.3094885585425518
255,1.7471796781522861
256,1.7139638774564228
257,3.5589063278071125
258,1.8140523152130463
259,1.9581031588220579
260,1.969300970506867
261,1.9011499116386479
262,1.3763279260856496
263,2.2941332850509073
264,3.344144942031847
265,2.601284471656861
266,2.1060233189108266
267,1.7353439411620262
268,5.5983853526898235
269,1.649808610165988
270,1.4499975024298333
271,1.8216247063901752
272,2.530143337048257
273,1.7386855402198411
274,2.062503019458303
275,2.098508614391652
276,2.6878760779218362
277,1.58364066802982
278,3.388978992007033
279,2.08317509724241
280,2.6382628379015443
281,3.4301161624009433
282,2.0463562903139847
283,3.506661659503277
284,3.399824426074164
285,1.5939485885826037
286,1.8157331539789667
287,2.0801760737555854
288,2.971688163662847
289,2.269066160287434
290,2.1074572111175525
291,2.066080479264933
292,2.177705459726852
293,2.5434402088777386
294,1.5253709526626007
295,1.7543023429491889
296,2.0841045314581943
297,1.7030575735053934
298,2.1253234606868547
299,1.5705287003272386
300,2.333709404895243
301,1.7574630735256773
302,1.3877037230968627
303,1.666082390611848
304,2.2578185915973714
305,1.8544192512063562
306,10.312804692590353
307,1.440423162696667
308,1.883341808190425
309,1.9680441774430988
310,1.5547598980992259
311,1.7565411413045242
312,1.7449751495983419
313,2.038094797571284
314,1.9858904107156272
315,1.6349514898970743
316,2.254643858180394
317,3.5128395776351153
318,2.074007335649563
319,1.6558076581112802
320,1.4045151454862954
321,1.9824160807869606
322,1.7663565202264562
323,2.1413708644887084
324,2.497537922086248
325,1.9717765431707293
326,1.7882350167579257
327,3.0771454336664803
328,1.5609649218604118
329,1.8379421676638414
330,1.7021058754452132
331,1.6599155089148159
332,3.3529853078681455
333,2.071267815033463
334,1.8873017358175421
335,2.0010727385437717
336,2.0994348131375666
337,2.732945946668521
338,1.353684804742034
339,2.314356131713648
340,1.3996558529432053
341,2.198577411286043
342,1.6946934042150814
343,1.9118664447061144
344,2.3531338798988792
345,2.324338051091921
346,1.613343684478317
347,1.7827710140820252
348,1.5962293338018667
349,2.1580695289426357
350,1.8963094016500104
351,2.296508916011832
352,2.765270217069549
353,1.7811368673205967
354,2.6295079594535284
355,1.691286492978995
356,1.8577959685041656
357,1.2700583746440548
358,1.7316499092467337
359,1.3063049840213494
360,5.020032477226552
361,1.711592058704914
362,1.739036341341215
363,2.1334501399092822
364,2.6484404315916734
365,1.7163954182783536
366,1.9504767813098969
367,2.554873651160442
368,1.883150075610735
369,2.199851281466995
370,2.7599909101845164
371,1.9431855236052238
372,1.6007518772978104
373,3.943484127333878
374,1.5920218275509814
375,2.9347910771586734
376,1.841304744901469
377,2.1066160468136266
378,1.3172211919424126
379,1.7978035620388748
380,2.1574850021446053
381,1.8260602285807506
382,2.102871518142909
383,1.8149010488963684
384,1.5171316582727112
385,1.8419021779201565
386,3.9975873432552276
387,1.7687390135195962
388,1.6941230523017603
389,1.9982758745788647
390,1.3771804083615193
391,1.8555215115242252
392,1.510344025808417
393,2.0300962245516847
394,2.160092012324185
395,2.0646807731256267
396,2.6212382040573368
397,1.8562861035681244
398,1.8563890917632595
399,1.295802768023141
400,2.607846756031472
401,2.0402951692288736
402,1.8454819158853617
403,2.0495019670032004
404,4.5785726549758055
405,2.5103506014497925
406,2.711292166798709
407,1.7518523260526124
408,3.1392147790851777
409,1.892511624486995
410,2.3333061079609743
411,1.8136674588110004
412,1.7741588797967218
413,1.6912472449016829
414,1.7557750296398613
415,1.4801849000724314
416,3.6850497278176535
417,1.8502632436812843
418,2.358557841886218
419,1.586148554275886
420,1.670895983034192
421,3.708080159496256
422,2.931612730402083
423,3.602058001557119
424,2.152266709166206
425,1.551290484556693
426,1.706671385651368
427,2.318953104348865
428,1.6208005389002733
429,1.673073220947888
430,1.869596445516504
431,1.9088534924934037
432,1.6920193256082083
433,1.8481102146124913
434,2.104645057863944
435,1.9869354907054764
436,1.771710678052568
437,1.5023783401169815
438,2.3245919235197237
439,1.8445102303579786
440,9.468105873159136
441,3.0413826098172416
442,1.6844588888596819
443,1.8123401836360709
444,1.9706369565946327
445,1.7504728284658693
446,1.5917601043550351
447,2.206200246279224
448,1.6701704785444647
449,1.1377614411914154
450,1.728672863553135
451,1.5805956849926193
452,2.4817010622562807
453,2.0012841580614062
454,2.545329724678521
455,2.012903148028559
456,1.3112232287071284
457,2.9031192743723477
458,1.6116616057149953
459,2.03907495576805
460,1.5582087717888453
461,1.6856527991875732
462,2.0834591985046247
463,2.4850673000467713
464,2.1186978818600437
465,4.585794791731469
